Series Description,"Market yield on U.S. Treasury securities at 1-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 3-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 5-year   constant maturity, quoted on investment basis","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis"
1962-01-02,3.22,3.7,3.88,4.06
1962-01-03,3.24,3.7,3.87,4.03
1962-01-04,3.24,3.69,3.86,3.99
1962-01-05,3.26,3.71,3.89,4.02
1962-01-08,3.31,3.71,3.91,4.03
1962-01-09,3.32,3.74,3.93,4.05
1962-01-10,3.33,3.75,3.94,4.07
1962-01-11,3.33,3.77,3.94,4.08
1962-01-12,3.3,3.76,3.95,4.08
1962-01-15,3.32,3.79,3.96,4.1
1962-01-16,3.3,3.81,3.98,4.13
1962-01-17,3.3,3.81,3.97,4.12
1962-01-18,3.27,3.79,3.96,4.11
1962-01-19,3.27,3.78,3.95,4.11
1962-01-22,3.25,3.76,3.93,4.09
1962-01-23,3.25,3.77,3.94,4.11
1962-01-24,3.24,3.76,3.93,4.1
1962-01-25,3.27,3.77,3.94,4.11
1962-01-26,3.28,3.8,3.97,4.11
1962-01-29,3.28,3.8,3.98,4.12
1962-01-30,3.28,3.8,3.98,4.11
1962-01-31,3.29,3.81,3.99,4.1
1962-02-01,3.3,3.81,4,4.09
1962-02-02,3.3,3.77,3.97,4.08
1962-02-05,3.29,3.77,3.96,4.07
1962-02-06,3.29,3.77,3.96,4.06
1962-02-07,3.29,3.77,3.95,4.07
1962-02-08,3.3,3.75,3.93,4.07
1962-02-09,3.28,3.73,3.91,4.05
1962-02-12,ND,ND,ND,ND
1962-02-13,3.28,3.72,3.91,4.03
1962-02-14,3.31,3.71,3.9,4.03
1962-02-15,3.33,3.71,3.9,4.02
1962-02-16,3.33,3.69,3.88,4.02
1962-02-19,3.32,3.67,3.86,4.01
1962-02-20,3.31,3.67,3.88,4.05
1962-02-21,3.28,3.64,3.86,4.03
1962-02-22,ND,ND,ND,ND
1962-02-23,3.24,3.6,3.83,4.02
1962-02-26,3.22,3.58,3.8,4
1962-02-27,3.23,3.57,3.8,4.01
1962-02-28,3.21,3.53,3.77,4
1962-03-01,3.15,3.44,3.71,3.98
1962-03-02,3.17,3.48,3.72,3.98
1962-03-05,3.18,3.53,3.74,4
1962-03-06,3.18,3.52,3.74,4.01
1962-03-07,3.14,3.52,3.74,4
1962-03-08,3.11,3.51,3.72,3.98
1962-03-09,3.12,3.53,3.71,3.96
1962-03-12,3.13,3.54,3.73,3.94
1962-03-13,3.11,3.53,3.7,3.92
1962-03-14,3.1,3.53,3.72,3.93
1962-03-15,3.1,3.52,3.73,3.96
1962-03-16,3.06,3.48,3.72,3.96
1962-03-19,3.03,3.44,3.71,3.93
1962-03-20,3.02,3.41,3.67,3.91
1962-03-21,3.01,3.37,3.61,3.86
1962-03-22,2.94,3.29,3.58,3.83
1962-03-23,2.94,3.33,3.62,3.87
1962-03-26,2.95,3.37,3.65,3.89
1962-03-27,2.95,3.39,3.65,3.9
1962-03-28,2.96,3.39,3.64,3.9
1962-03-29,2.96,3.4,3.64,3.9
1962-03-30,2.97,3.39,3.61,3.86
1962-04-02,2.95,3.38,3.58,3.86
1962-04-03,2.93,3.36,3.55,3.83
1962-04-04,2.88,3.28,3.51,3.78
1962-04-05,2.89,3.34,3.56,3.84
1962-04-06,2.89,3.32,3.55,3.81
1962-04-09,2.9,3.33,3.57,3.83
1962-04-10,2.94,3.36,3.57,3.83
1962-04-11,3,3.41,3.61,3.87
1962-04-12,3,3.4,3.61,3.86
1962-04-13,3,3.38,3.6,3.85
1962-04-16,3,3.37,3.6,3.83
1962-04-17,3,3.36,3.6,3.82
1962-04-18,3,3.35,3.6,3.81
1962-04-19,3,3.37,3.6,3.82
1962-04-20,ND,ND,ND,ND
1962-04-23,3.03,3.4,3.63,3.86
1962-04-24,3.08,3.42,3.65,3.87
1962-04-25,3.08,3.43,3.66,3.88
1962-04-26,3.04,3.43,3.66,3.89
1962-04-27,3.07,3.45,3.64,3.86
1962-04-30,3.07,3.47,3.64,3.86
1962-05-01,3.06,3.45,3.63,3.85
1962-05-02,3.06,3.44,3.64,3.86
1962-05-03,3.05,3.42,3.64,3.86
1962-05-04,3.05,3.42,3.64,3.87
1962-05-07,3.04,3.41,3.64,3.86
1962-05-08,3.01,3.39,3.62,3.85
1962-05-09,3.01,3.37,3.6,3.82
1962-05-10,2.99,3.37,3.61,3.83
1962-05-11,3,3.37,3.61,3.82
1962-05-14,3,3.39,3.63,3.85
1962-05-15,3.04,3.41,3.67,3.87
1962-05-16,3.04,3.4,3.67,3.86
1962-05-17,3.06,3.4,3.67,3.87
1962-05-18,3.05,3.44,3.72,3.93
1962-05-21,3.05,3.46,3.74,3.94
1962-05-22,3.05,3.44,3.71,3.93
1962-05-23,3.04,3.42,3.69,3.91
1962-05-24,3.02,3.39,3.68,3.9
1962-05-25,3.01,3.37,3.66,3.88
1962-05-28,2.98,3.36,3.65,3.87
1962-05-29,2.97,3.37,3.66,3.89
1962-05-30,ND,ND,ND,ND
1962-05-31,2.99,3.36,3.66,3.9
1962-06-01,2.98,3.35,3.64,3.89
1962-06-04,2.98,3.33,3.63,3.88
1962-06-05,2.97,3.35,3.64,3.89
1962-06-06,2.95,3.34,3.62,3.89
1962-06-07,2.95,3.33,3.6,3.87
1962-06-08,2.94,3.33,3.6,3.86
1962-06-11,2.95,3.31,3.59,3.87
1962-06-12,2.94,3.29,3.57,3.86
1962-06-13,2.94,3.31,3.57,3.87
1962-06-14,3,3.34,3.6,3.9
1962-06-15,3,3.34,3.6,3.89
1962-06-18,3.03,3.36,3.61,3.91
1962-06-19,3.06,3.41,3.64,3.93
1962-06-20,3.04,3.4,3.63,3.92
1962-06-21,3.04,3.38,3.61,3.9
1962-06-22,3.04,3.38,3.61,3.9
1962-06-25,3.12,3.47,3.68,3.95
1962-06-26,3.14,3.5,3.71,3.97
1962-06-27,3.14,3.49,3.68,3.96
